id,idiom,en_meaning
2586,one and the same,"identical or exactly the same thing, no difference"
2587,one cannot love and be wise,one cannot be in love and think logically or make rational decisions
2588,one for the road,one last drink before leaving
2589,one good turn deserves another,an act of kindness should be reciprocated with another act of kindness
2590,one in the eye for,an unexpected setback or defeat for someone
2591,one of a kind,unique and incomparable
2592,one of those days,Refers to a day where everything seems to go wrong or is particularly difficult or frustrating
2593,one of those things,something that cannot be easily explained or understood; a situation or event that is accepted as inevitable or unavoidable
2594,one over the eight,to be slightly drunk or intoxicated
2595,one stop shop,a place or service that provides all the necessary items or services in one location or from one source
2596,one's word is law,to have absolute authority or control; to be in a position of power where one's decisions or commands must be obeyed
2597,one-horse race,"An event or competition in which one participant or outcome is significantly more dominant or likely to win than all others, making the final result predictable or unexciting"
2598,one-off,something that is unique or only happens once
2599,only time will tell,the outcome or truth will become clear in the future
2600,open someone's eyes,to make someone aware or understand something that they were previously unaware of
2601,open the floodgates,"to allow a large amount of something, such as information or emotions, to flow freely and uncontrollably"
2602,open warfare,"a situation or conflict in which there is no restraint or compromise, and all parties are openly and aggressively combating each other"
2603,other half,one's spouse or romantic partner
2604,out and about,To be active or moving around in a particular place or in general
2605,out cold,completely unconscious or deeply asleep
2606,out of action,not functional or able to be used
2607,out of business,no longer operating or functioning as a business
2608,out of kilter,not working or functioning correctly; out of balance or alignment
2609,out of line,behaving inappropriately or not following the expected standards or rules
2610,out of order,not functioning correctly or according to the usual rules or order
2611,out of pocket,not having any money; having out-of-pocket expenses; unavailable
2612,out of sight,"something or someone that is extremely impressive, exceptional, or amazing"
2613,"out of sight, out of mind",Something or someone that is not seen or heard from is easily forgotten or ignored
2614,out of sorts,feeling unwell or not quite oneself
2615,out of the blue,unexpectedly or without warning
