idiom,en_meaning
put a foot wrong,"to make a mistake or error, especially in a situation where one should be careful or cautious"
put a smile on someone's face,to make someone happy or bring them joy
put a sock in it,to tell someone to be quiet or stop talking
put damper on,to dampen or decrease the enthusiasm or excitement surrounding something
put down roots,"To establish oneself in a place or community, typically by settling down and making it one's permanent home."
put money on somebody or something,to make a bet or speculate on the success or victory of someone or something
put on a brave face,to act courageous or confident in the face of adversity or fear
put on the ritz,to dress or behave in an elegant or extravagant manner
put one's heart into something,"To exert a lot of effort, passion, or dedication into something"
put one's mind to it,to focus or concentrate on something with determination or effort
put one's shoulder to the wheel,To work hard and with determination towards a goal; to make a strong effort or contribution
put paid to,to bring something to an end or to make it impossible
put someone in mind of,to remind someone of someone or something
put someone on a pedestal,"To greatly admire or idealize someone, often to the point of placing them above criticism or fault"
